Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Month,DayOfWeek,Is_Weekend,Likes_Per_View,Shares_Per_View,Comments_Per_View,Engagement_Rate
2022-09-22,YouTube,#Comedy,Tweet,Brazil,1193284,301260,95595,13072,High,9,3,0,0.2524629509823311,0.08011085374479168,0.010954642817636036,34.35284475447588
2022-11-21,TikTok,#Comedy,Tweet,Japan,4969573,61124,69585,20780,High,11,0,0,0.012299648279640927,0.014002209042909722,0.004181445770089301,3.0483303092639953
2022-09-13,YouTube,#Fitness,Post,Canada,131873,454436,93369,18730,Low,9,1,0,3.44601245137367,0.7080221121836919,0.14203059003738444,429.60651535947466
2023-07-14,Twitter,#Viral,Tweet,Brazil,3380653,387333,43799,7391,High,7,4,0,0.11457342708642383,0.012955781028103151,0.002186264014674088,12.971547212920106
2022-01-03,Twitter,#Dance,Video,Brazil,4615991,4652,67987,39672,High,1,0,0,0.0010078009250884588,0.014728581576523871,0.008594470829774149,2.4330853331386475
2023-04-15,TikTok,#Tech,Shorts,Germany,864943,82684,91782,8394,High,4,5,1,0.09559473861283345,0.10611335082196167,0.00970468574229747,21.14127751770926
2022-05-10,Instagram,#Comedy,Post,UK,1263647,322686,75202,21411,High,5,1,0,0.25536087214229924,0.059511873173441636,0.01694381421393791,33.18165595296787
2023-01-14,YouTube,#Fashion,Post,USA,1984393,375236,99926,43802,Medium,1,5,1,0.1890935918439543,0.05035595267671273,0.022073248595414315,26.152279311608133
2023-10-02,TikTok,#Music,Reel,USA,3986858,90525,32612,1252,Medium,10,0,0,0.02270585007040632,0.008179874979244307,0.0003140317513189584,3.1199756800969585
2023-04-07,TikTok,#Fitness,Video,Brazil,1026460,195036,70291,35850,Low,4,4,0,0.19000837830991954,0.06847904448298034,0.034925861699433,29.341328449233288
2023-03-10,TikTok,#Viral,Shorts,Germany,3391235,264956,65030,40163,High,3,4,0,0.07812964893320574,0.019175904943184417,0.011843178075243975,10.914873195163414
2023-02-23,Twitter,#Challenge,Video,Brazil,3216923,205624,63081,49107,Low,2,3,0,0.06391946589955681,0.01960911094235081,0.015265208399455008,9.879378524136264
2023-05-26,Instagram,#Dance,Tweet,USA,4841137,431351,625,19075,Medium,5,4,0,0.08910117602538412,0.00012910190312730253,0.003940190083445273,9.31704680119567
2022-11-07,TikTok,#Gaming,Shorts,Brazil,2056554,5852,96016,26074,High,11,0,0,0.0028455367571189475,0.046687808829721955,0.012678490328967779,6.221183591580868
2023-12-22,Instagram,#Music,Live Stream,Brazil,1889541,357123,24263,35214,Low,12,4,0,0.18899986822196502,0.012840684589537882,0.018636271983513458,22.047682479501635
2023-11-27,Instagram,#Fashion,Video,Brazil,353263,473924,71436,3303,High,11,0,0,1.3415613862759475,0.20221761124148296,0.009349974381692959,155.31289718991232
2023-03-25,Instagram,#Tech,Video,Canada,2385749,319160,12581,37720,Low,3,5,1,0.13377769413295362,0.005273396321239158,0.015810548385433672,15.486163883962648
2022-12-05,YouTube,#Comedy,Post,UK,2543088,334654,46205,44955,Low,12,0,0,0.131593558697143,0.01816885613081419,0.017677327721258563,16.743974254921575
2022-06-08,Instagram,#Music,Reel,Germany,4826724,359660,68209,1169,High,6,2,0,0.07451430825545442,0.01413153103429987,0.00024219325571547077,8.888803254546977
2023-10-18,TikTok,#Dance,Tweet,Canada,332982,248040,43908,44462,High,10,2,0,0.7449051300070274,0.13186298358469828,0.13352673718098876,101.02948507727146
2023-02-22,TikTok,#Viral,Reel,Brazil,243690,434643,49661,16049,Low,2,2,0,1.7835898067216545,0.2037875989987279,0.06585826254667816,205.32356682670607
2022-04-28,Instagram,#Education,Video,India,2780722,130632,4458,42849,Medium,4,3,0,0.04697772736720895,0.001603180756652409,0.015409307366935637,6.399021549079699
2023-05-30,Twitter,#Education,Post,Japan,4582230,284453,89108,46380,Medium,5,1,0,0.06207741645443376,0.019446426739818824,0.010121709298747552,9.164555249300014
2022-09-12,YouTube,#Fashion,Post,USA,4126761,108177,6409,1021,Medium,9,0,0,0.02621353647570092,0.001553033965378659,0.00024740953013755823,2.801397997121714
2023-02-24,Twitter,#Fashion,Post,Brazil,2116294,479845,2280,48864,Low,2,4,0,0.2267383454283762,0.001077355036682049,0.023089419522996334,25.09051199880546
2023-01-30,Instagram,#Dance,Post,Canada,3724442,459724,55807,9912,Medium,1,0,0,0.12343432922300844,0.0149839895479645,0.0026613382622148497,14.107965703318778
2023-12-09,Instagram,#Gaming,Tweet,Brazil,4170208,315259,26019,37399,Medium,12,5,1,0.07559790782618037,0.006239257130579578,0.008968137800320752,9.080530275708071
2022-01-06,Twitter,#Comedy,Shorts,Canada,1340034,92561,43545,32024,Low,1,3,0,0.06907362052007636,0.032495444145447056,0.023897901098031842,12.546696576355526
2023-06-27,YouTube,#Education,Post,India,2091486,222248,78214,42629,High,6,1,0,0.10626320233556429,0.03739637750384177,0.02038215890519946,16.40417387446055
2022-01-23,Twitter,#Fashion,Reel,Japan,4386555,119786,77421,45384,Low,1,6,1,0.02730753404436967,0.017649613421010336,0.010346160027629883,5.5303307493009894
2022-08-14,YouTube,#Fashion,Tweet,UK,97528,402649,98985,48533,Medium,8,6,1,4.128547699122303,1.0149392994832254,0.49763144942990734,564.1118448035436
2022-12-16,YouTube,#Viral,Live Stream,Germany,3781524,76341,10644,1692,Medium,12,4,0,0.02018789250048393,0.0028147381849222696,0.00044743865171819615,2.34500693371244
2022-05-27,TikTok,#Tech,Shorts,Japan,2076113,484384,39567,41864,Low,5,4,0,0.23331292660852276,0.01905821118599999,0.02016460568379467,27.253574347831744
2023-11-06,TikTok,#Music,Tweet,Brazil,3648938,224759,88368,34806,High,11,0,0,0.06159573004528989,0.024217457243724063,0.009538665770698214,9.535185305971217
2023-05-15,TikTok,#Dance,Live Stream,USA,1304352,334062,84453,42589,Medium,5,0,0,0.2561133804371826,0.064747092809303,0.03265146218198768,35.351193542847334
2022-02-15,Instagram,#Viral,Tweet,Australia,4113719,371010,23116,29531,Low,2,1,0,0.09018846450134295,0.0056192462343684635,0.0071786624220079205,10.298637315771932
2023-01-03,TikTok,#Tech,Live Stream,Germany,2919564,36753,49519,6372,High,1,1,0,0.012588523491863854,0.016961094190776432,0.002182517663596345,3.173213534623663
2023-05-25,YouTube,#Gaming,Tweet,USA,4732496,365067,78267,37692,Low,5,3,0,0.0771404772449887,0.01653820732230941,0.007964507524147934,10.164319209144605
2023-12-28,Twitter,#Challenge,Shorts,Japan,2040652,407996,11598,40259,Low,12,3,0,0.19993413869684787,0.005683477633619059,0.019728498538702337,22.534611486916926
2023-07-08,YouTube,#Gaming,Live Stream,Canada,3380651,451739,2827,2335,High,7,5,1,0.13362485509447736,0.000836229471779252,0.0006906953719860465,13.515177993824267
2023-10-07,YouTube,#Education,Video,India,2592595,237876,33780,36343,High,10,5,1,0.09175208623020564,0.013029416472684704,0.014018001268998822,11.879950397188917
2022-06-18,Instagram,#Gaming,Post,Canada,4284095,435610,44348,35611,High,6,5,1,0.10168075171068802,0.01035177791342162,0.008312374025319234,12.034490364942888
2022-02-19,YouTube,#Tech,Video,Brazil,1562200,236997,84050,12958,Medium,2,5,1,0.15170720778389452,0.0538023300473691,0.008294712584816285,21.38042504160799
2023-03-15,Twitter,#Fashion,Live Stream,USA,3305437,493487,69852,38719,High,3,2,0,0.14929553944001958,0.021132455406047673,0.011713731043731888,18.214172588979913
2023-08-03,YouTube,#Dance,Shorts,India,2293007,93269,84008,11949,Medium,8,3,0,0.04067541006198411,0.03663660861044035,0.005211061283284351,8.252307995570881
2023-09-04,Twitter,#Fashion,Shorts,UK,1191376,239380,16309,8387,Low,9,0,0,0.20092733108607191,0.01368921314513638,0.007039759068505661,22.165630329971396
2022-03-15,YouTube,#Viral,Live Stream,India,660930,336481,11129,35123,Low,3,1,0,0.5091023255110223,0.016838394383671493,0.05314178506044513,57.908250495513904
2022-07-20,TikTok,#Comedy,Live Stream,India,790471,245250,99730,49881,Medium,7,2,0,0.31025806133305334,0.12616528626603632,0.063102884229782,49.952623182887166
2022-08-02,YouTube,#Comedy,Live Stream,Japan,4565789,300350,4163,15057,Medium,8,1,0,0.06578271575843737,0.0009117810744210913,0.0032977870856493808,6.999228391850784
2022-06-21,Instagram,#Fitness,Shorts,USA,1513083,352786,90781,29795,Low,6,1,0,0.23315707069605568,0.05999736960893751,0.019691583343412093,31.28460236484053
2022-08-21,Twitter,#Fashion,Shorts,Japan,3829879,145994,75122,11620,Low,8,6,1,0.03811974216417803,0.01961471889842995,0.0030340384121796014,6.076849947478759
2023-09-05,YouTube,#Viral,Live Stream,Australia,2754577,351227,85607,43219,High,9,1,0,0.1275066915900336,0.031078092934051216,0.01568988632374408,17.42746708478289
2022-02-20,Twitter,#Fitness,Video,Canada,3497840,366736,65404,28802,High,2,6,1,0.10484641950460856,0.0186983967248359,0.008234224550008004,13.177904077945247
2022-08-15,Instagram,#Viral,Tweet,Germany,4746014,29305,89872,16323,Medium,8,0,0,0.006174655194864574,0.018936311608014643,0.003439307174399401,2.8550273977278615
2022-03-23,Twitter,#Fitness,Video,Canada,4161787,343575,2003,19921,Medium,3,2,0,0.08255468143852629,0.0004812836408975279,0.004786645736554994,8.78226108159788
2022-02-16,YouTube,#Dance,Video,India,3873103,121317,4727,38875,Medium,2,2,0,0.03132294700140947,0.0012204684461012269,0.010037171745755276,4.258058719326597
2022-01-04,YouTube,#Viral,Tweet,Brazil,3620241,386951,38015,31259,High,1,1,0,0.1068854255835454,0.01050068213690746,0.00863450803413364,12.60206157545865
2023-05-11,YouTube,#Tech,Video,India,3722406,295942,27878,47869,Medium,5,3,0,0.07950288066374275,0.007489242172938685,0.012859693434837576,9.985181627151901
2022-08-23,YouTube,#Dance,Video,India,2975095,449386,33351,13313,High,8,1,0,0.15104929422421806,0.011210062199694464,0.004474815089938304,16.67341715138508
2022-02-08,YouTube,#Tech,Reel,Brazil,178206,37884,42111,34950,Low,2,1,0,0.21258543483384398,0.2363051749099357,0.19612134271573348,64.50119524595131
2022-11-30,TikTok,#Tech,Reel,Australia,2221223,69758,80790,38108,Medium,11,2,0,0.03140522135778353,0.03637185460442288,0.017156314336741516,8.493339029894791
2023-05-13,Twitter,#Fitness,Video,USA,3283134,413608,67001,12600,High,5,5,1,0.12597962800178122,0.020407634900068045,0.003837796446931499,15.022505934878078
2022-06-12,Twitter,#Dance,Live Stream,Germany,2215064,29791,99856,25420,High,6,6,1,0.013449272797535421,0.04508041302644077,0.011475966382912638,7.000565220688883
2022-08-19,Twitter,#Fashion,Video,Brazil,2189190,105704,95438,38438,Low,8,4,0,0.048284525326719015,0.04359511965612852,0.017558092262434963,10.94377372452825
2023-05-29,Instagram,#Fitness,Live Stream,UK,2085067,227030,40851,2906,Low,5,0,0,0.10888379126426154,0.019592176174674483,0.0013937202017968728,12.98696876407329
2022-03-22,Instagram,#Viral,Live Stream,India,4121250,73511,93273,36056,Medium,3,1,0,0.017837063997573552,0.02263221110100091,0.008748801941158629,4.921807703973309
2023-01-02,Twitter,#Fitness,Live Stream,USA,1706185,35065,44031,14777,Medium,1,0,0,0.02055169867276995,0.025806697397996115,0.008660842757379768,5.501923882814584
2022-01-19,Twitter,#Education,Video,Canada,697238,308437,36985,18584,Medium,1,2,0,0.4423697503578405,0.053045014758231764,0.02665373946916261,52.20685045852349
2022-09-12,TikTok,#Education,Live Stream,UK,492746,467395,66735,1125,Medium,9,0,0,0.9485515864157192,0.13543488937505327,0.0022831235565585516,108.62695993473311
2023-08-30,Twitter,#Viral,Post,USA,2611265,196133,74984,14125,Medium,8,2,0,0.07511033924170853,0.02871558420918597,0.005409255667272375,10.923517911816687
2023-04-13,Instagram,#Challenge,Reel,UK,4248915,261493,87021,28833,Medium,4,3,0,0.06154347639338514,0.020480758028814414,0.006785967711757002,8.881020213395654
2022-06-30,YouTube,#Dance,Post,Canada,3239323,38620,936,18479,Low,6,3,0,0.011922244246714514,0.0002889492650161778,0.005704587038711484,1.7915780550442177
2022-11-30,Twitter,#Fashion,Live Stream,Canada,3551156,74808,24814,5993,Low,11,2,0,0.021065816314462107,0.006987583761456833,0.001687619468139389,2.974101954405833
2022-07-27,TikTok,#Tech,Post,Brazil,4569045,140232,946,8215,Medium,7,2,0,0.030691752871770797,0.00020704545479416378,0.0017979687221290226,3.269676704869398
2023-06-15,YouTube,#Tech,Post,Brazil,651443,338455,43231,38317,Low,6,3,0,0.5195466065334956,0.06636190733494719,0.058818653358774294,64.47271672272171
2022-11-08,TikTok,#Comedy,Post,India,3484442,290461,51999,5863,High,11,1,0,0.08335940159141693,0.014923192867035813,0.0016826223538804778,9.996521681233322
2022-03-27,TikTok,#Gaming,Live Stream,Australia,497423,158956,68044,30123,Low,3,6,1,0.31955900712271046,0.13679303128323378,0.06055811653260907,51.69101549385533
2022-05-13,YouTube,#Viral,Post,Brazil,222706,422102,50384,8792,Medium,5,4,0,1.8953328603629898,0.22623548534839655,0.039478056271496954,216.10464019828834
2023-05-10,YouTube,#Viral,Live Stream,Japan,1128302,228488,52037,25873,Medium,5,2,0,0.2025060666381873,0.04611974453648048,0.022930917431680527,27.155672860634827
2022-10-05,YouTube,#Education,Live Stream,USA,2677335,7372,39950,10623,Medium,10,2,0,0.0027534843417054648,0.01492155445620365,0.003967751514098908,2.164279031200802
2023-07-05,YouTube,#Education,Shorts,India,1050909,258178,5642,13315,Low,7,2,0,0.24567112851826373,0.005368685585526434,0.012669983794981297,26.370979789877147
2022-05-21,Twitter,#Education,Live Stream,Canada,1015391,388747,2397,15351,High,5,5,1,0.38285448659678883,0.0023606669745940235,0.015118314028783001,40.033346760016585
2022-10-04,Twitter,#Fashion,Post,Canada,1217360,423212,78276,46525,Medium,10,1,0,0.3476473680751791,0.06429979628047579,0.0382179470329237,45.01651113885786
2023-09-27,TikTok,#Challenge,Tweet,Brazil,3371506,450959,9604,38602,Low,9,2,0,0.1337559535708968,0.002848578647049716,0.011449482812725233,14.805401503067175
2022-11-19,YouTube,#Music,Reel,USA,2477176,11709,98546,46222,High,11,5,1,0.004726753367544333,0.03978159000410145,0.018659150581145627,6.316749395279141
2023-11-16,Instagram,#Dance,Reel,Canada,2912775,178086,11014,25511,Medium,11,3,0,0.06113963488425986,0.003781273871136631,0.008758314665568059,7.367922342096454
2022-04-16,YouTube,#Music,Video,Brazil,962239,312622,27648,42018,Low,4,5,1,0.32489017801190767,0.028732986295504546,0.04366690603893627,39.72900703463485
2022-11-02,TikTok,#Challenge,Post,Brazil,3069640,139491,60853,30527,Medium,11,2,0,0.045442136537183514,0.019824148760115193,0.009944814375627109,7.521109967292581
2023-06-16,YouTube,#Education,Tweet,USA,1106136,186803,18713,7394,Medium,6,4,0,0.16887887203743482,0.016917449572204504,0.0066845306544584026,19.24808522640977
2023-11-23,Instagram,#Tech,Reel,Canada,4018134,476460,96568,48685,Medium,11,3,0,0.11857742922461023,0.02403304618511976,0.012116320660286591,15.472679607001657
2022-01-03,Instagram,#Tech,Video,Brazil,1135196,106116,41569,21497,Medium,1,0,0,0.09347813064880425,0.03661834608296717,0.018936817959189427,14.903329469096086
2022-07-21,TikTok,#Education,Live Stream,Canada,136335,97707,63913,30021,Low,7,3,0,0.7166685003850809,0.468793780027139,0.22020024205083066,140.56625224630505
2023-05-17,Instagram,#Music,Live Stream,Germany,312301,376135,50291,40981,High,5,2,0,1.2043989612585295,0.16103374628963724,0.13122276265525887,149.66554702034256
2022-07-14,Instagram,#Dance,Shorts,Brazil,2930383,479741,220,33112,Low,7,3,0,0.16371272970120287,7.507551060731651e-05,0.011299546851043021,17.508735206285323
2023-05-15,Twitter,#Fashion,Reel,India,963339,243870,4291,30134,Low,5,0,0,0.2531507600128304,0.004454299057756407,0.0312807848535147,28.88858439241015
2023-11-23,TikTok,#Dance,Tweet,Germany,2542362,339645,75620,27672,High,11,3,0,0.13359427178348324,0.029743993970960864,0.010884366585088984,17.42226323395331
2023-06-26,YouTube,#Music,Shorts,USA,929670,415475,77500,1737,Medium,6,0,0,0.4469058913377865,0.08336291372207343,0.0018684049178740844,53.21372099777341
2023-08-19,Instagram,#Fashion,Reel,Germany,2808211,93056,17427,27332,Low,8,5,1,0.03313711113587975,0.006205730267419364,0.009732886880651062,4.9075728283950175
2023-11-02,Twitter,#Challenge,Live Stream,India,209672,221957,65127,34835,Medium,11,3,0,1.0585915143652944,0.3106137204776985,0.1661404479377313,153.5345682780724
2023-03-30,Twitter,#Comedy,Tweet,Canada,3737771,3185,21475,43289,Medium,3,3,0,0.0008521121277895302,0.005745402808251227,0.011581501381438295,1.8179016317479053
2022-12-21,YouTube,#Challenge,Video,USA,4446755,221164,44206,37039,Low,12,2,0,0.04973604347439875,0.009941181828097117,0.008329444729921032,6.800667003241689
2023-08-21,TikTok,#Gaming,Post,UK,2013957,449783,37315,45597,Medium,8,0,0,0.2233329708628337,0.01852820094967271,0.02264050324808325,26.450167506058968
2023-05-22,TikTok,#Tech,Reel,Canada,1036784,398301,83508,44951,Medium,5,0,0,0.38416970169292736,0.08054522446334049,0.043356186052253894,50.80711122085218
2022-06-17,Twitter,#Education,Video,USA,3980555,275061,89641,47571,Low,6,4,0,0.06910116805319862,0.02251972400833552,0.011950846050362323,10.357173811189647
2022-01-05,TikTok,#Gaming,Video,Brazil,4198164,5801,27958,40130,High,1,2,0,0.001381794517793969,0.006659577853556936,0.009558940527335283,1.7600312898686188
2023-10-09,Instagram,#Education,Tweet,USA,3123278,298146,8587,1236,Low,10,0,0,0.09545932190474239,0.0027493550045817245,0.0003957380675047178,9.860441497682883
2023-08-04,TikTok,#Gaming,Video,Japan,2064157,356084,56738,25612,Low,8,4,0,0.17250819583975444,0.02748725024307744,0.012407970905313889,21.24034169881458
2022-03-02,TikTok,#Education,Post,USA,2074835,47157,47309,8648,Medium,3,2,0,0.022728072352741303,0.022801331190191027,0.004168042278060665,4.9697445820993
2023-06-27,TikTok,#Education,Reel,USA,4860381,322942,75521,4830,High,6,1,0,0.06644376233056627,0.01553808230260138,0.0009937492554596028,8.297559388862725
2023-06-13,Instagram,#Fashion,Reel,Brazil,3599873,278305,77717,19512,Low,6,1,0,0.0773096717578648,0.021588817161049847,0.005420191212301101,10.431868013121575
2023-06-19,TikTok,#Gaming,Reel,Brazil,3940481,94795,68944,47811,Medium,6,0,0,0.024056707797855136,0.017496341182713482,0.012133290326739299,5.368633930730791
2023-08-01,TikTok,#Fashion,Reel,UK,3402318,493021,14422,17661,Medium,8,1,0,0.14490738373073886,0.0042388747906574285,0.005190872810830733,15.433713133222703
2022-11-12,Instagram,#Tech,Post,Germany,2836169,142049,19440,32540,High,11,5,1,0.05008481511503722,0.006854316509347645,0.011473223210605574,6.8412354834990445
2022-03-25,Instagram,#Fashion,Tweet,Australia,3207625,410976,85117,37271,Low,3,4,0,0.12812470285647481,0.026535832586415183,0.011619500409181248,16.628003585207125
2022-07-15,Twitter,#Tech,Post,Australia,3036452,221744,11077,49900,High,7,4,0,0.0730273358511842,0.0036480076088803645,0.01643365348768892,9.31089969477535
2022-07-18,TikTok,#Music,Reel,Japan,4172163,236621,13929,2337,High,7,0,0,0.05671422712870998,0.003338556043951303,0.0005601411066633782,6.061292427932466
2023-01-15,Twitter,#Fitness,Video,India,1588694,85453,32995,47809,Low,1,6,1,0.05378820591001162,0.02076863134121486,0.030093271580304327,10.46501088315308
2022-03-08,TikTok,#Education,Reel,Germany,4698854,234921,87352,22243,High,3,1,0,0.04999538185268153,0.018590064726420528,0.004733707410360058,7.331915398946211
2022-06-03,TikTok,#Dance,Shorts,Germany,1435830,117831,84434,24859,High,6,4,0,0.08206472911138506,0.05880501173537257,0.01731333096536498,15.81830718121226
2023-05-03,TikTok,#Dance,Shorts,Australia,3990883,491508,66058,37043,Medium,5,2,0,0.12315770720414505,0.016552226662620777,0.00928190578375763,14.899183965052346
2022-01-23,Twitter,#Education,Post,Canada,778600,491963,55403,8603,Low,1,6,1,0.6318558951965065,0.07115720524017467,0.011049319291035191,71.40624197277164
2022-05-12,TikTok,#Comedy,Live Stream,Brazil,4103458,118601,51035,44941,Low,5,3,0,0.02890269621377872,0.01243707136761239,0.010951982449923943,5.229175003131505
2023-04-28,TikTok,#Dance,Video,Australia,4149798,198160,72234,42191,Medium,4,4,0,0.047751721891041446,0.017406630395021636,0.010167000899802834,7.532535318586592
2022-01-19,Twitter,#Music,Video,Japan,3312891,292286,6952,23430,Low,1,2,0,0.08822686891901967,0.0020984692825692123,0.007072372740304465,9.739771094189335
2023-02-20,TikTok,#Music,Video,India,1154890,242791,31594,24465,Low,2,0,0,0.21022867978768542,0.027356717955822632,0.02118383568997913,25.876923343348718
2023-09-16,YouTube,#Fitness,Video,Germany,2289467,55335,94333,43209,High,9,5,1,0.02416938090830748,0.04120303983416228,0.018872951652065744,8.42453723945355
2022-09-30,Twitter,#Gaming,Post,India,950724,371343,52165,30174,Medium,9,4,0,0.3905896979565047,0.05486871058267173,0.031737917629091096,47.71963261682676
2022-08-04,Twitter,#Education,Post,Japan,4641254,378649,39504,22534,High,8,3,0,0.08158333933027583,0.00851149279914437,0.004855153370188316,9.494998549960851
2022-03-13,YouTube,#Challenge,Reel,USA,633478,356209,80366,48809,Low,3,6,1,0.5623068204420675,0.12686470564092203,0.07704924243620141,76.62207685191909
2022-10-25,Twitter,#Fashion,Reel,Australia,513065,249364,19912,7312,Medium,10,1,0,0.4860280861099471,0.03880989738142341,0.014251605547055441,53.908958903842596
2023-09-24,Twitter,#Gaming,Tweet,Japan,2165655,124165,5295,34518,High,9,6,1,0.05733369350150416,0.0024449877750611247,0.01593882682144663,7.571750809801192
2023-02-03,Instagram,#Education,Video,USA,4029746,268583,97064,12067,Low,2,4,0,0.06665010648313814,0.02408687793225677,0.002994481538042348,9.373146595343727
2023-05-29,YouTube,#Music,Video,Japan,505913,272303,96744,360,High,5,0,0,0.5382407647164631,0.19122655476336842,0.0007115847981767616,73.01789042780082
2022-09-26,TikTok,#Challenge,Reel,USA,4486868,94546,72083,47825,Low,9,0,0,0.021071714166763986,0.01606532663764568,0.010658882766330546,4.779592357074022
2022-01-30,Instagram,#Fitness,Live Stream,UK,4184048,287717,88326,45451,Medium,1,6,1,0.06876522449073243,0.02111017846831585,0.010862925090725537,10.073832804977382
2022-02-13,Twitter,#Fitness,Post,Germany,2435410,326186,1739,5729,Low,2,6,1,0.13393473788807633,0.0007140481479504478,0.0023523759859736143,13.700116202200041
2022-07-09,Instagram,#Education,Video,USA,1171718,339285,76401,22897,High,7,5,1,0.2895619935854873,0.06520425563147447,0.019541391358671625,37.43076405756334
2023-06-16,Twitter,#Comedy,Shorts,Brazil,4098970,468202,10925,38510,High,6,4,0,0.11422430513031323,0.0026653037226425174,0.009395043144985203,12.628465199794094
2022-02-24,YouTube,#Viral,Video,Australia,1538823,307662,59624,8124,Low,2,3,0,0.19993332566513497,0.03874649651064482,0.005279359614458583,24.395918179023838
2023-02-16,Twitter,#Fitness,Video,USA,2595660,434540,40012,13478,High,2,3,0,0.16741021551358806,0.015414961897937327,0.005192513657412758,18.801769106893815
2023-09-16,TikTok,#Gaming,Shorts,Australia,3521130,260136,65723,32176,Low,9,5,1,0.07387855603172845,0.018665314827910357,0.009137975593062455,10.168184645270125
2022-06-08,Instagram,#Gaming,Tweet,India,3589308,407373,70852,20849,High,6,2,0,0.11349625053074297,0.019739738133367213,0.005808640551326328,13.90446292154365
2023-05-20,YouTube,#Comedy,Tweet,UK,1035365,326981,34821,2572,High,5,5,1,0.3158122980784554,0.033631617835256165,0.0024841481023600374,35.192806401607164
2022-07-20,Instagram,#Education,Reel,UK,2315963,306373,6915,33050,Medium,7,2,0,0.13228751927383986,0.0029857989959252373,0.014270521592961546,14.954383986272665
2023-07-07,YouTube,#Education,Reel,Canada,2676777,488199,52014,45422,Medium,7,4,0,0.18238314211456538,0.019431577602467446,0.01696891448185635,21.87836341988892
2023-07-10,Instagram,#Viral,Video,Canada,2950546,305105,99587,34102,Medium,7,0,0,0.10340628480288055,0.03375205809365453,0.01155786081626926,14.871620371280434
2022-04-30,TikTok,#Fashion,Tweet,USA,3368170,17758,93392,19981,High,4,5,1,0.005272299201049828,0.027727816588830136,0.005932301516847428,3.893241730672739
2023-03-03,YouTube,#Fashion,Reel,Japan,4736019,308046,88779,33858,Medium,3,4,0,0.06504323567958659,0.01874549067476292,0.0071490422652442905,9.09377686195938
2022-05-05,TikTok,#Gaming,Reel,Japan,2258063,241357,49321,14634,Low,5,3,0,0.10688674319538471,0.021842171808315356,0.0064807757799494525,13.520969078364953
2023-10-02,YouTube,#Comedy,Live Stream,Germany,4989820,166706,39793,15510,High,10,0,0,0.033409221174310895,0.007974836767658953,0.0031083285569419336,4.4492386498911785
2023-04-02,YouTube,#Tech,Post,Germany,4766161,384232,67245,8995,Medium,4,6,1,0.0806166640195327,0.014108839378275303,0.0018872631453280744,9.661276654313609
2022-07-11,TikTok,#Challenge,Reel,UK,4706101,198755,73600,39098,Low,7,0,0,0.04223347522715726,0.0156392733602615,0.008307938992384566,6.618068757980332
2023-04-15,Twitter,#Fashion,Live Stream,Canada,1726804,328441,44676,1323,High,4,5,1,0.1902016673577314,0.025872073495312727,0.0007661552787693334,21.683989613181346
2022-01-17,YouTube,#Dance,Tweet,Canada,3218932,135138,58808,4020,Medium,1,0,0,0.0419822475280621,0.018269413581896106,0.001248861423602611,6.150052253356082
2023-04-08,Instagram,#Education,Live Stream,Germany,1374292,468164,79559,11612,Low,4,5,1,0.34065831715530615,0.057890899459503514,0.008449441603385599,40.69986582181953
2023-08-31,Twitter,#Gaming,Shorts,Japan,2307722,112883,48860,26500,High,8,3,0,0.04891533728932688,0.021172394248527335,0.011483185583012165,8.157091712086638
2022-01-07,TikTok,#Fitness,Post,USA,3943560,361857,53708,10889,High,1,4,0,0.09175896905334266,0.013619166438446479,0.0027612106827333677,10.813934617452253
2023-12-22,YouTube,#Viral,Tweet,USA,4397362,416040,26255,37205,Medium,12,4,0,0.09461126921094966,0.005970625115694364,0.008460754425039376,10.90426487516834
2022-10-26,Instagram,#Tech,Reel,India,2904623,210629,93645,25652,High,10,2,0,0.07251509059867667,0.03223998432843092,0.008831438709946179,11.358651363705375
2023-09-12,YouTube,#Dance,Reel,USA,4648895,334635,14885,39943,High,9,1,0,0.07198162143907316,0.0032018361352536464,0.008591934212323574,8.377539178665037
2023-05-19,YouTube,#Education,Tweet,Japan,2182075,401349,79190,49849,High,5,4,0,0.1839299749092034,0.03629114489648614,0.022844769313612043,24.306588911930156
2022-02-02,YouTube,#Tech,Tweet,Germany,3686801,289690,37216,29859,Low,2,2,0,0.07857489460374997,0.010094388061628495,0.008098891152519487,9.676817381789796
2023-01-12,Instagram,#Music,Video,UK,436676,411915,89675,24765,Low,1,3,0,0.9432966318277166,0.20535820608414476,0.05671252828183825,120.53673661936996
2022-12-14,Instagram,#Challenge,Tweet,Germany,1021135,442784,49480,32668,High,12,2,0,0.43361945286372516,0.04845588487320482,0.03199185220367532,51.406718994060526
2023-03-16,Twitter,#Music,Tweet,USA,2616896,411249,93026,8004,High,3,3,0,0.1571514496563868,0.03554822201570104,0.0030585854386265257,19.575825711071438
2023-12-03,Instagram,#Fitness,Reel,Canada,80333,106027,74544,43880,Low,12,6,1,1.3198436508035303,0.9279374603214121,0.5462263328893481,279.40074440142905
2023-04-03,YouTube,#Dance,Post,USA,2286789,161388,40096,47798,Medium,4,0,0,0.07057406695589317,0.017533755847172608,0.020901797236211998,10.900962003927777
2022-07-01,Twitter,#Tech,Tweet,Canada,803980,242545,76839,34020,Low,7,4,0,0.30168039005945424,0.09557327296698923,0.042314485434961066,43.95681484614045
